Company,Role,Clean Location,Minimum Experience,Maximum Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8
varite,data scientist,['gurgaon'],3,7,it skills,python,testing,machine learning,tableau,power bi,sas,data analysis
execboardinasia,data scientist,['bangalore'],5,10,backend,data analysis,machine learning,algorithm development,data quality,data analysis,business intelligence,open source
csm india limited,data scientist,['bhubaneswar'],7,12,process automation,orchestration,machine learning,data processing,information retrieval,machine learning,pattern recognition,robotics
saisystems technology private limited,data scientist,['pune'],7,12,business intelligence,data science,sql,r,data analysis,power bi,microsoft power bi,hadoop
aura placement and services,jr data scientist,['ahmedabad'],3,5,leadership,team management skills,artificial intelligence,data science,modelling,npl,machine learning,sql
draup,data scientist,['bangalore'],6,11,it skills,python,data science,aws,deep learning,pdf,spark,deployment
talpro,data scientist,"['mumbai', 'delhi', 'bangalore']",5,10,tensorflow,cnn,lstm,opencv,image processing,neural networks,keras,deep learning
netomi,data scientist ii,['remote'],3,5,computer science,data analysis,artificial intelligence,machine learning,information retrieval,natural language processing,customer service,apache
vast consulting,data scientist - python,['noida'],5,10,it skills,python,data science,machine learning,aws,microsoft azure,machine learning,data science
talpro,data scientist - sas/ sql/ spss,"['delhi', 'new delhi', 'bangalore']",8,12,it skills,java,testing,product management,r,sas,data science,data management
alphonso inc.,data scientist,['bangalore'],2,7,computer science,deep learning,usage,statistical modeling,machine learning,programming,manager technology,big data
netomi,data scientist ii,['remote'],3,5,computer science,data analysis,artificial intelligence,machine learning,information retrieval,natural language processing,customer service,apache
msg.ai,data scientist ii,['remote'],3,5,computer science,data analysis,artificial intelligence,machine learning,information retrieval,natural language processing,customer service,apache
pyc consultants,"data scientist with product based company @ delhi,ncr",['delhi'],3,6,data science,java,python,data science,artificial intelligence,mysql,machine learning,
dewi,data scientist,['gurgaon'],2,7,hospitality,computer vision,artificial intelligence,machine learning,manager technology,facility management,monitoring,sql
